source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0032501,multicellular organismal process,0.00039481721647605556,True,"""Any biological process, occurring at the level of a multicellular organism, pertinent to its function."" [GOC:curators, GOC:dph, GOC:isa_complete, GOC:tb]",7337,132,75,20972,0.5681818181818182,0.010222161646449502,query_1,['GO:0008150']
REAC,REAC:R-HSA-373076,Class A/1 (Rhodopsin-like receptors),0.0012564948244975578,True,Class A/1 (Rhodopsin-like receptors),328,92,13,11056,0.14130434782608695,0.039634146341463415,query_1,['REAC:R-HSA-500792']
REAC,REAC:R-HSA-375276,Peptide ligand-binding receptors,0.002031634717592024,True,Peptide ligand-binding receptors,195,92,10,11056,0.10869565217391304,0.05128205128205128,query_1,['REAC:R-HSA-373076']
REAC,REAC:R-HSA-500792,GPCR ligand binding,0.002263637233931184,True,GPCR ligand binding,460,92,15,11056,0.16304347826086957,0.03260869565217391,query_1,['REAC:R-HSA-372790']
GO:BP,GO:0042221,response to chemical,0.003601223459439391,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a chemical stimulus."" [GOC:jl]",3863,132,47,20972,0.3560606060606061,0.0121667098110277,query_1,['GO:0050896']
GO:BP,GO:0007267,cell-cell signaling,0.003769384402307933,True,"""Any process that mediates the transfer of information from one cell to another. This process includes signal transduction in the receiving cell and, where applicable, release of a ligand and any processes that actively facilitate its transport and presentation to the receiving cell. Examples include signaling via soluble ligands, via cell adhesion molecules and via gap junctions."" [GOC:dos, GOC:mah]",1316,132,24,20972,0.18181818181818182,0.0182370820668693,query_1,"['GO:0007154', 'GO:0023052']"
GO:MF,GO:0001664,G protein-coupled receptor binding,0.010126382345851798,True,"""Binding to a G protein-coupled receptor."" [GOC:ceb, GOC:dph]",286,132,10,20208,0.07575757575757576,0.03496503496503497,query_1,['GO:0005102']
GO:BP,GO:0006935,chemotaxis,0.010871626860166569,True,"""The directed movement of a motile cell or organism, or the directed growth of a cell guided by a specific chemical concentration gradient. Movement may be towards a higher concentration (positive chemotaxis) or towards a lower concentration (negative chemotaxis)."" [ISBN:0198506732]",456,132,13,20972,0.09848484848484848,0.02850877192982456,query_1,"['GO:0042221', 'GO:0042330']"
GO:BP,GO:0042330,taxis,0.011395064757599396,True,"""The directed movement of a motile cell or organism in response to an external stimulus."" [GOC:jl, ISBN:0192801023]",458,132,13,20972,0.09848484848484848,0.028384279475982533,query_1,"['GO:0009605', 'GO:0040011']"
KEGG,KEGG:00040,Pentose and glucuronate interconversions,0.02633905424352196,True,Pentose and glucuronate interconversions,36,78,4,8716,0.05128205128205128,0.1111111111111111,query_1,['KEGG:00000']
GO:MF,GO:0008194,UDP-glycosyltransferase activity,0.027723121905083702,True,"""Catalysis of the transfer of a glycosyl group from a UDP-sugar to a small hydrophobic molecule."" [PMID:11846783]",147,132,7,20208,0.05303030303030303,0.047619047619047616,query_1,['GO:0016757']
KEGG,KEGG:00830,Retinol metabolism,0.031694776696303474,True,Retinol metabolism,68,78,5,8716,0.0641025641025641,0.07352941176470588,query_1,['KEGG:00000']
GO:BP,GO:0007186,G protein-coupled receptor signaling pathway,0.03385806932001499,True,"""The series of molecular signals initiated by a ligand binding to its receptor, in which the activated receptor promotes the exchange of GDP for GTP on the alpha-subunit of an associated heterotrimeric G-protein complex. The GTP-bound activated alpha-G-protein then dissociates from the beta- and gamma-subunits to further transmit the signal within the cell. The pathway begins with receptor-ligand interaction, and ends with regulation of a downstream cellular process. The pathway can start from the plasma membrane, Golgi or nuclear membrane."" [GOC:bf, GOC:mah, PMID:16902576, PMID:24568158, Wikipedia:G_protein-coupled_receptor]",1299,132,22,20972,0.16666666666666666,0.016936104695919937,query_1,['GO:0007165']
KEGG,KEGG:04080,Neuroactive ligand-receptor interaction,0.036560503294346514,True,Neuroactive ligand-receptor interaction,367,78,11,8716,0.14102564102564102,0.02997275204359673,query_1,['KEGG:00000']
